enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex
\left\{\begin{matrix}3x - 2y = 1\\ x + 6y = 7\\ \end{matrix}\right.,"[Eq(3*x - 2*y, 1), Eq(x + 6*y, 7)]","\left[\begin{matrix}3 & -2 & 1\\0 & \frac{20}{3} & \frac{20}{3}\end{matrix}\right] \rightarrow \\ \left \{ x : 1, \quad y : 1\right \}",Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}6x - 2y = 14\\ 3x - y = 7 \\ \end{matrix}\right.,"[Eq(6*x - 2*y, 14), Eq(3*x - y, 7)]",\left[\begin{matrix}6 & -2 & 14\\0 & 0 & 0\end{matrix}\right] \rightarrow \\ \left \{ x : \frac{y}{3} + \frac{7}{3}\right \},Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}6x - 2y = 9\\ 3x - y = 10\\ \end{matrix}\right.,"[Eq(6*x - 2*y, 9), Eq(3*x - y, 10)]",\left[\begin{matrix}6 & -2 & 9\\0 & 0 & \frac{11}{2}\end{matrix}\right] \rightarrow \\ \left [ \right ],Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}4x + 7y =  - 3\\ 7x + 4y = 36\\ \end{matrix}\right.,"[Eq(4*x + 7*y, -3), Eq(7*x + 4*y, 36)]","\left[\begin{matrix}4 & 7 & -3\\0 & - \frac{33}{4} & \frac{165}{4}\end{matrix}\right] \rightarrow \\ \left \{ x : 8, \quad y : -5\right \}",Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix} 4x + 16 = 5y\\  5y - 19 = 3x\\ \end{matrix}\right.,"[Eq(5*y, 4*x + 16), Eq(3*x, 5*y - 19)]","\left[\begin{matrix}-4 & 5 & 16\\0 & - \frac{5}{4} & -7\end{matrix}\right] \rightarrow \\ \left \{ x : 3, \quad y : \frac{28}{5}\right \}",Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}x - 5 = y + 2\\ 1 + 3x + 2y = x - 4\\ \end{matrix}\right.,"[Eq(x - 5, y + 2), Eq(x - 4, 3*x + 2*y + 1)]","\left[\begin{matrix}1 & -1 & 7\\0 & -4 & 19\end{matrix}\right] \rightarrow \\ \left \{ x : \frac{9}{4}, \quad y : - \frac{19}{4}\right \}",Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}x - 5 = y + 2\\ 3x - 2y = x - 5\\ \end{matrix}\right.,"[Eq(x - 5, y + 2), Eq(x - 5, 3*x - 2*y)]",\left[\begin{matrix}1 & -1 & 7\\0 & 0 & 19\end{matrix}\right] \rightarrow \\ \left [ \right ],Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}x + 3y = 6\\ 6y - 5 = 7 - 2x\\ \end{matrix}\right.,"[Eq(x + 3*y, 6), Eq(-2*x + 7, 6*y - 5)]",\left[\begin{matrix}1 & 3 & 6\\0 & 0 & 0\end{matrix}\right] \rightarrow \\ \left \{ x : - 3 y + 6\right \},Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}x - y = 8\\  x + y = 24\\ \end{matrix}\right.,"[Eq(x - y, 8), Eq(x + y, 24)]","\left[\begin{matrix}1 & -1 & 8\\0 & 2 & 16\end{matrix}\right] \rightarrow \\ \left \{ x : 16, \quad y : 8\right \}",Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
\left\{\begin{matrix}x + 2y = 11\\ 2x - y = 2\\ \end{matrix}\right.,"[Eq(x + 2*y, 11), Eq(2*x - y, 2)]","\left[\begin{matrix}1 & 2 & 11\\0 & -5 & -20\end{matrix}\right] \rightarrow \\ \left \{ x : 3, \quad y : 4\right \}",Resuelve los sistemas:,1BC,7 - Sistemas de ecuaciones,p019e01,1,2,1,True
